2026-04-17 15:21:19.304 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-17 15:21:19.306 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-17 15:21:19.345 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2026-04-17 15:21:20.213 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8123 (http)
2026-04-17 15:21:20.231 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8123"]
2026-04-17 15:21:20.233 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-17 15:21:20.233 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2026-04-17 15:21:20.316 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-04-17 15:21:20.317 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2000 ms
2026-04-17 15:21:22.303 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8123"]
2026-04-17 15:21:22.325 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8123 (http) with context path '/api'
2026-04-17 15:21:22.339 [main] INFO  com.travelagent.TravelAgentApplication - Started TravelAgentApplication in 4.681 seconds (process running for 6.582)
2026-04-17 15:21:25.874 [http-nio-8123-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-17 15:21:25.874 [http-nio-8123-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-17 15:21:25.875 [http-nio-8123-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-17 15:22:52.333 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-17 15:22:52.341 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-17 15:22:55.877 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-17 15:22:55.935 [main] INFO  com.travelagent.TravelAgentApplication - Starting TravelAgentApplication using Java 21.0.9.0.9 with PID 91288 (G:\coding\new_plan_travel_agent\target\classes started by ASUS in G:\coding\new_plan_travel_agent)
2026-04-17 15:22:55.936 [main] INFO  com.travelagent.TravelAgentApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-17 15:22:56.962 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-17 15:22:56.965 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-17 15:22:57.013 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 0 Redis repository interfaces.
2026-04-17 15:22:58.124 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8123 (http)
2026-04-17 15:22:58.145 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8123"]
2026-04-17 15:22:58.148 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-17 15:22:58.148 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2026-04-17 15:22:58.244 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-04-17 15:22:58.244 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2241 ms
2026-04-17 15:23:00.438 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8123"]
2026-04-17 15:23:00.463 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8123 (http) with context path '/api'
2026-04-17 15:23:00.477 [main] INFO  com.travelagent.TravelAgentApplication - Started TravelAgentApplication in 5.097 seconds (process running for 6.656)
2026-04-17 15:23:00.605 [http-nio-8123-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-17 15:23:00.605 [http-nio-8123-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-17 15:23:00.607 [http-nio-8123-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-04-17 15:33:10.473 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-17 15:33:10.479 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-17 15:33:15.181 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-17 15:33:15.254 [main] INFO  com.travelagent.TravelAgentApplication - Starting TravelAgentApplication using Java 21.0.9.0.9 with PID 98528 (G:\coding\new_plan_travel_agent\target\classes started by ASUS in G:\coding\new_plan_travel_agent)
2026-04-17 15:33:15.255 [main] INFO  com.travelagent.TravelAgentApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-17 15:33:16.264 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-17 15:33:16.267 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
